image_name,category_name
Sweet_Crochet_Blouse/img_00000070.jpg,Blouse
Classic_Pencil_Skirt/img_00000010.jpg,Skirt
Strapless_Diamond_Print_Dress/img_00000038.jpg,Dress
Mid-Rise_-_Acid_Wash_Skinny_Jeans/img_00000010.jpg,Jeans
Zippered_Single-Button_Blazer/img_00000078.jpg,Blazer
Abstract_Chevron_Draped_Dress/img_00000013.jpg,Dress
Boho_Babe_Crochet_Top/img_00000047.jpg,Top
Colorblock-Paneled_Tee/img_00000006.jpg,Tee
Abstract_Floral_Print_Kimono/img_00000026.jpg,Kimono
Stripe_Trapeze_Dress/img_00000010.jpg,Dress
Striped_Geo_Print_Dress/img_00000018.jpg,Dress
Lace-Paneled_Knit_Dress/img_00000001.jpg,Dress
Grid_Print_Jumpsuit/img_00000048.jpg,Jumpsuit
Leopard_Print_Joggers/img_00000003.jpg,Joggers
Ditsy_Floral_Pleated_Dress/img_00000016.jpg,Dress
Drape-Front_Marled_Cardigan/img_00000009.jpg,Cardigan
Tie-Dye_Midi_Dress/img_00000034.jpg,Dress
Strapless_Romper/img_00000007.jpg,Romper
Cutout_Bodycon_Dress/img_00000075.jpg,Dress
Drawstring_Cargo_Joggers/img_00000019.jpg,Joggers
Chambray_Popover_Blouse/img_00000006.jpg,Blouse
Mesh_Overlay_Sheath_Dress/img_00000050.jpg,Dress
Embroidered_Bead_Keyhole_Blouse/img_00000009.jpg,Blouse
Hooded_Side-Slit_Maxi_Dress/img_00000021.jpg,Dress
Varsity_Joggers/img_00000005.jpg,Joggers
Peter_Pan_Collar_Dress/img_00000032.jpg,Dress
Flutter_Sleeve_Surplice_Dress/img_00000022.jpg,Dress
Hooded_Asymmetrical_Longline_Jacket/img_00000018.jpg,Jacket
Quilted_Faux_Leather_Trim_Skirt/img_00000012.jpg,Skirt
Crochet_Trim_Tribal_Print_Shorts/img_00000020.jpg,Shorts
Colorblock-Paneled_Tee/img_00000022.jpg,Tee
Linen-Blend_Cargo_Shorts/img_00000059.jpg,Shorts
Mosaic_Print_Peasant_Dress/img_00000032.jpg,Dress
High-Waisted_Matelot_Skinny_Jeans/img_00000021.jpg,Jeans
Rose_Chiffon_Kimono/img_00000013.jpg,Kimono
Open-Front_Shawl_Lapel_Blazer/img_00000084.jpg,Blazer
Faux_Leather_Moto_Jacket/img_00000028.jpg,Jacket
Chiffon_Curved_Hem_Blouse/img_00000075.jpg,Blouse
Cap-Sleeved_Turtleneck_Sweater/img_00000038.jpg,Sweater
Classic_Halter_Top/img_00000064.jpg,Top
Crochet-Trimmed_Floral_Romper/img_00000013.jpg,Romper
Raw-Cut_Pocket_Tee/img_00000021.jpg,Tee
Classic_Peplum_Dress/img_00000018.jpg,Dress
Gingham-Lined_Pocket_Tee/img_00000055.jpg,Tee
